ms_file,ms_file_label,peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename,peak_area,peak_area_top3,peak_n_datapoints,peak_max,peak_rt_of_max,peak_min,peak_median,peak_mean,peak_delta_int,peak_shape_rt,peak_shape_int,peak_mass_diff_25pc,peak_mass_diff_50pc,peak_mass_diff_75pc,peak_score,total_intensity,ms_file_size_MB
Data/mzML/Pos/QC_203.mzML,QC_203,Quercetin,303.0499,10,216.0,213.0,222.0,s,1000,unknown,159844.0,19829.0,18,21013.0,215.00900268554688,1291.0,7034.5,8880.222222222223,1242.0,"213.01,213.51,214.01,214.51,215.01,215.51,216.01,216.51,217.01,217.51,218.01,218.51,219.0,219.5,220.0,220.5,221.0,221.5","1826,1291,1405,2254,5417,14840,19156,21013,19318,15996,12967,10378,7603,8260,6466,5043,3543,3068",-4.317395354522068,-4.090816989766792,-3.8642386250115157,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,Chlorogenic acid,355.10238,10,134.0,130.0,140.0,s,1000,unknown,13513806.0,1882280.0,20,2085217.0,134.60699462890625,1007.0,442926.5,675690.3,96554.0,"130.11,130.61,131.11,131.61,132.11,132.61,133.11,133.61,134.11,134.61,135.11,135.61,136.11,136.6,137.1,137.6,138.1,138.6,139.1,139.6","1320,1390,1007,1171,5466,119355,731762,1584052,2085217,1977573,1604346,1334386,1085251,866380,722702,522408,363445,250749,157952,97874",5.410982141928692,5.647317758276151,5.883653374623612,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,Cyanidin-3-O-rutinoside,596.1735,10,135.0,131.0,140.0,s,1000,unknown,125083.0,19673.0,14,20994.0,134.60699462890625,1320.0,6613.0,8934.5,125.0,"133.11,133.61,134.11,134.61,135.11,135.61,136.11,136.6,137.1,137.6,138.1,138.6,139.1,139.6","1320,5685,14531,20985,20994,17041,12065,9139,7541,5618,3893,2875,1951,1445",-2.520960236390909,-2.26501479328584,-1.9834748058702638,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,Rutin hydrate,611.16068,10,167.04,163.44,170.64,s,1000,unknown,1049138.0,91895.0,28,99896.0,167.0679931640625,4793.0,27257.0,37469.21428571428,6677.0,"164.07,164.57,165.07,165.57,166.07,166.57,167.07,167.57,168.07,168.57,169.07,169.57,170.06,170.56","11773,49604,90680,99896,85109,66426,49934,34966,24169,18503,12509,8740,5432,5665",-5.975190939589137,0.8407734219638685,8.03124131986594,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,(−)-Epicatechin,291.08633,10,148.0,144.0,152.0,s,1000,unknown,13590708.0,1996375.0,16,2229246.0,148.09100341796875,14594.0,639498.0,849419.25,199188.0,"144.1,144.6,145.1,145.59,146.09,146.59,147.09,147.59,148.09,148.59,149.09,149.59,150.09,150.59,151.09,151.59","14594,15873,80554,628044,1623963,2229246,2135916,1736935,1297878,1000402,807401,650952,505671,373710,275787,213782",1.8492319197439784,2.00649236954765,2.2423830442531574,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,phloridzin,437.14423999999997,10,191.0,189.0,195.0,s,1000,unknown,259275.0,40694.0,12,44782.0,191.03900146484375,1307.0,20932.5,21606.25,13034.0,"189.04,189.54,190.04,190.54,191.04,191.54,192.04,192.54,193.04,193.54,194.04,194.53","1424,1307,5734,17624,36197,44782,41103,32291,22101,22490,19764,14458",-5.354962730949399,-5.162981841886902,-4.9884537609209945,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,quercitrin,449.10785999999996,10,182.0,179.0,186.0,s,1000,unknown,1292101.0,191600.0,14,203206.0,181.05099487304688,7762.0,79673.0,92292.92857142857,42854.0,"179.05,179.55,180.05,180.55,181.05,181.55,182.05,182.55,183.05,183.55,184.05,184.55,185.05,185.54","8266,7762,12636,22082,67800,146680,201029,203206,170566,135596,106012,89830,69516,51120",3.5262454565404298,3.8490153499325204,4.256724688954109,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,Kaempferol-3-glucoside,449.10785999999996,10,181.992,178.392,185.59199999999998,s,1000,unknown,1303341.0,191600.0,15,203206.0,181.05099487304688,7762.0,69516.0,86889.4,39880.0,"178.55,179.05,179.55,180.05,180.55,181.05,181.55,182.05,182.55,183.05,183.55,184.05,184.55,185.05,185.54","11240,8266,7762,12636,22082,67800,146680,201029,203206,170566,135596,106012,89830,69516,51120",3.543233345666329,3.781063793428922,4.256724688954109,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,quercetin-3-O-galactoside,465.10276999999996,10,169.0,165.0,175.0,s,1000,unknown,9982193.0,1164389.0,21,1193762.0,165.57000732421875,21951.0,340706.0,475342.5238095238,71741.0,"165.07,165.57,166.07,166.57,167.07,167.57,168.07,168.57,169.07,169.57,170.06,170.56,171.06,171.56,172.06,172.56,173.06,173.56,174.06,174.56","26001,30945,24346,21951,57144,340706,842520,1152353,1193762,1147053,1092723,984489,803802,646368,488137,376053,288970,201024,140840,97742",-5.5488618474344005,-5.286403052574933,-5.0895589564303325,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,2α-Hydroxyursolic Acid,473.3625,10,408.0,405.0,411.0,s,1000,unknown,55625.0,8430.0,11,9501.0,406.7749938964844,1327.0,5060.0,5056.818181818182,1657.0,"405.78,406.28,406.77,407.27,407.77,408.27,408.77,409.27,409.77,410.27,410.77","1327,2541,5508,7239,9501,8550,5698,5060,3753,3464,2984",1.1346681982384141,1.3280775502149649,1.5214869021915158,0,23564395204,83.99830627441406
